Unnamed: 0,Job Title,Rating,Company Name,Location,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,competitor_count,company_age,job_state,min_salary,max_salary,python_yn,r_yn,sql_yn,aws_yn,azure_yn,spark_yn,hadoop_yn,excel_yn,tableau_yn,sas_yn,docker_yn,kubernetes_yn,security_clearance,phd_yn,masters_yn,bachelors_yn,size_num
0,69,3.8,294,3,72,1973,3,23,12,13,0,51,25,53,91,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,501.0
1,106,3.4,320,99,12,1984,8,21,4,9,0,40,18,63,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
2,69,4.8,164,42,43,2010,3,41,21,8,0,14,7,80,90,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,501.0
3,69,3.8,217,154,150,1965,5,10,11,2,3,59,36,56,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
4,69,2.9,13,122,118,1998,3,12,21,5,3,26,26,86,143,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,51.0
5,69,3.4,90,50,47,2000,4,38,13,0,3,24,33,71,119,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,201.0
6,69,4.1,77,18,12,2008,3,56,2,5,0,16,18,54,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,501.0
7,69,3.8,174,164,169,2005,3,5,21,10,0,19,2,86,142,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,201.0
8,165,3.3,248,157,153,2014,6,21,4,2,0,10,26,38,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000.0
9,69,4.6,4,122,118,2009,3,28,5,8,2,15,26,120,160,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.0
10,69,3.5,333,164,159,2011,3,37,14,0,0,13,2,126,201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.0
11,69,4.1,179,35,78,1968,4,40,21,0,0,56,35,64,106,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5001.0
12,252,3.2,330,142,17,1962,4,8,14,7,3,62,33,106,172,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,10000.0
13,40,4.1,334,173,169,2012,3,12,21,5,0,12,36,46,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,201.0
14,69,3.7,290,30,125,1781,4,58,20,7,3,243,17,83,144,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,10000.0
15,56,3.6,30,123,119,1995,10,36,8,5,0,29,24,102,190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1001.0
16,180,3.9,45,30,28,2011,4,58,20,1,3,13,17,67,137,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,51.0
17,36,4.3,340,118,112,2011,3,11,5,5,0,13,2,118,189,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,201.0
18,75,4.2,208,163,159,2010,3,11,5,5,0,14,2,110,175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,51.0
19,69,4.0,229,53,52,1915,7,27,6,2,0,109,3,64,111,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,501.0
20,69,3.2,231,173,169,2012,3,28,5,5,3,12,36,81,130,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,201.0
21,198,3.9,147,50,112,2013,3,26,6,5,0,11,33,73,119,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,201.0
22,76,3.8,314,40,117,1995,3,32,16,5,0,29,11,86,139,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,501.0
23,69,4.3,252,104,131,1935,7,32,16,6,0,89,14,63,105,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,51.0
25,69,4.0,206,78,105,2012,3,11,5,8,3,12,35,109,177,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,501.0
26,90,4.0,226,30,118,1849,4,58,20,7,0,175,17,63,110,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10000.0
27,69,3.5,124,80,160,1952,3,56,2,8,0,72,28,75,124,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1001.0
28,6,3.7,304,199,196,1852,4,27,6,11,0,172,17,34,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5001.0
29,29,4.0,226,73,118,1849,4,58,20,7,0,175,4,63,105,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,10000.0
30,69,4.8,164,42,43,2010,3,41,21,8,0,14,7,80,90,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,501.0
31,69,3.8,217,154,150,1965,5,10,11,2,3,59,36,56,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
32,69,3.6,20,55,54,1997,3,38,13,2,0,27,19,72,120,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1001.0
33,80,3.8,205,30,13,1996,4,58,20,7,0,28,17,86,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
34,69,3.8,161,182,177,1996,4,49,15,9,0,28,2,93,149,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,5001.0
35,69,4.7,203,86,84,1974,3,58,20,5,3,50,17,85,140,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,201.0
36,263,4.2,75,164,41,2008,3,24,5,5,0,16,2,77,135,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,201.0
37,69,3.5,111,151,145,1969,3,3,5,0,1,55,2,82,132,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1001.0
38,69,4.7,287,197,195,2010,3,23,12,8,0,14,17,83,137,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,201.0
39,195,3.5,262,69,73,1870,4,58,20,0,0,154,2,115,180,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5001.0
40,51,3.5,168,101,95,1985,3,27,6,8,0,39,26,74,138,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,201.0
41,40,4.2,263,163,159,2008,3,24,5,13,3,16,2,64,112,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,201.0
43,51,3.6,225,108,99,0,3,0,0,3,0,0,17,68,129,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1.0
44,72,4.2,208,163,159,2010,3,11,5,5,0,14,2,110,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51.0
45,175,3.4,106,6,172,2015,4,7,7,9,3,9,24,52,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5001.0
46,195,4.3,110,40,41,1993,4,38,13,9,3,31,11,110,150,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1001.0
48,69,5.0,32,190,3,0,3,11,5,5,0,0,5,150,160,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,501.0
49,119,3.7,328,21,67,1958,4,24,5,7,3,66,36,158,211,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,10000.0
50,6,3.1,158,102,126,1986,3,11,5,9,0,38,3,20,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5001.0
51,230,4.7,65,19,37,1999,3,23,12,8,3,25,27,56,117,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,501.0
52,32,3.7,62,137,51,1925,4,25,7,7,3,99,11,63,99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10000.0
54,69,3.8,336,62,63,1984,10,12,21,5,0,40,7,68,114,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,501.0
55,86,3.3,171,26,23,1912,3,27,6,7,3,112,17,86,143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10000.0
